Class,Accel_x,Accel_y,Accel_y,Delta_accel_x,Delta_accel_y,Delta_accel_z,Previous_delta_accelerate_x,Previous_delta_accel_y,Previous_delta_z,Gyro_x,Gyro_y,Gyro_z,Delta_gyro_x,Delta_gyro_y,Delta_gyro_z,Prev_delta_gyro_x,Prev_delta_gyro_y,Prev_delta_gyro_z
0,-0.4575195,0.3682861,-0.7207031,-0.4575195,0.3682861,-0.7207031,-0.4575195,0.3682861,-0.7207031,11.47461,-39.0625,26.9165,11.47461,-39.0625,26.9165,11.47461,-39.0625,26.9165
0,-0.6885986,0.1956787,-0.6171875,-0.2310791,-0.1726074,0.1035156,-0.6885986,0.1956787,-0.6171875,4.699707,-37.65869,-14.5874,-6.774901,1.403809,-41.5039,4.699707,-37.65869,-14.5874
0,-0.5615234,0.02453613,-0.6378174,0.1270752,-0.1711426,-0.02062988,-0.1040039,-0.34375,0.08288574,61.95068,22.33887,14.46533,57.25097,59.99756,29.05273,50.47607,61.40137,-12.45117
0,-0.5806885,0.1020508,-0.7623291,-0.01916504,0.07751465,-0.1245117,0.1079102,-0.09362793,-0.1451416,-21.72851,58.10546,3.051758,-83.67919,35.7666,-11.41357,-26.42822,95.76416,17.63916
0,-0.7489014,-0.6385498,-0.4643555,-0.1682129,-0.7406006,0.2979736,-0.1873779,-0.6630859,0.1734619,162.1094,-24.6582,24.10888,183.8379,-82.76366,21.05713,100.1587,-46.99707,9.643554
0,-0.7196045,-0.5550537,-0.5528564,0.02929688,0.08349609,-0.08850098,-0.138916,-0.6571045,0.2094727,-187.561,-3.417969,-18.9209,-349.6704,21.24023,-43.02979,-165.8325,-61.52343,-21.97266
0,-0.6612549,0.05688477,-0.6988525,0.05834961,0.6119385,-0.1459961,0.08764648,0.6954346,-0.2344971,13.79394,-3.051758,0.4882812,201.355,0.3662109,19.40918,-148.3154,21.60644,-23.6206
0,-0.6800537,0.1706543,-0.6947021,-0.01879883,0.1137695,0.004150391,0.03955078,0.725708,-0.1418457,-130.9204,36.07178,19.59229,-144.7144,39.12354,19.104,56.64061,39.48975,38.51318
0,-0.5610352,0.7297363,-0.4030762,0.1190186,0.559082,0.291626,0.1002197,0.6728516,0.2957764,5.065917,2.929687,1.098633,135.9863,-33.14209,-18.49365,-8.728027,5.981445,0.6103516
0,-0.7572021,-0.1328125,-0.6218262,-0.196167,-0.8625488,-0.21875,-0.07714844,-0.3034668,0.07287598,29.66308,6.16455,2.990722,24.59717,3.234863,1.89209,160.5835,-29.90723,-16.60156
0,-0.9886475,-0.2092285,-0.4499512,-0.2314453,-0.07641602,0.171875,-0.4276123,-0.9389648,-0.046875,-7.751464,-99.4873,7.568359,-37.41455,-105.6518,4.577637,-12.81738,-102.417,6.469726
0,-0.7911377,-0.09558105,0.5556641,0.1975098,0.1136475,1.005615,-0.03393555,0.03723145,1.17749,13.97705,-29.90722,-6.896972,21.72851,69.58007,-14.46533,-15.68603,-36.07177,-9.887694
0,-0.7789307,-0.157959,0.6153564,0.01220703,-0.06237793,0.05969238,0.2097168,0.05126953,1.065308,-13.12256,64.39209,24.71924,-27.09961,94.29932,31.61621,-5.371093,163.8794,17.15088
0,-0.8831787,-0.0690918,-0.6187744,-0.104248,0.08886719,-1.234131,-0.09204102,0.02648926,-1.174438,8.789063,8.789063,-6.04248,21.91162,-55.60303,-30.76172,-5.187987,38.69629,0.8544922
0,-0.6673584,-0.03466797,-0.6345215,0.2158203,0.03442383,-0.01574707,0.1115723,0.123291,-1.249878,6.347656,96.61864,11.53564,-2.441407,87.82958,17.57812,19.47021,32.22655,-13.18359
0,-0.06445313,0.06408691,-1.025513,0.6029053,0.09875488,-0.3909912,0.8187256,0.1331787,-0.4067383,4.638672,9.887695,-1.647949,-1.708984,-86.73095,-13.18359,-4.150391,1.098633,4.394531
0,-0.3060303,-0.05322266,-0.9539795,-0.2415771,-0.1173096,0.0715332,0.3613281,-0.01855469,-0.319458,62.25586,-144.043,-33.5083,57.61718,-153.9307,-31.86035,55.9082,-240.6616,-45.04395
0,-0.8734131,-0.008666992,-0.5206299,-0.5673828,0.04455566,0.4333496,-0.80896,-0.07275391,0.5048828,6.04248,1.708984,-4.760742,-56.21338,145.752,28.74756,1.403808,-8.178711,-3.112793
0,-1.068604,-0.07226563,-0.2579346,-0.1951904,-0.06359863,0.2626953,-0.7625732,-0.01904297,0.6960449,2.13623,-51.14746,-4.699707,-3.90625,-52.85644,0.06103516,-60.11963,92.89551,28.80859
0,-0.7758789,0.05895996,0.3526611,0.2927246,0.1312256,0.6105957,0.09753418,0.06762695,0.873291,10.0708,-43.02978,5.92041,7.934569,8.117676,10.62012,4.02832,-44.73877,10.68115
0,-0.9346924,-0.002441406,0.4151611,-0.1588135,-0.06140137,0.0625,0.1339111,0.06982422,0.6730957,-1.220703,12.02392,-1.953125,-11.2915,55.05371,-7.873535,-3.356934,63.17138,2.746582
0,-0.8769531,0.0378418,0.002685547,0.05773926,0.0402832,-0.4124756,-0.1010742,-0.02111816,-0.3499756,-10.43701,109.4971,11.53564,-9.216308,97.47314,13.48877,-20.50781,152.5268,5.615234
