accel_X,accel_Y,accel_Z,gyro_X,gyro_Y,gyro_Z
-0.643,-0.024,-0.773,0.671,2.014,-1.038
-0.644,-0.019,-0.788,-2.869,1.648,-2.258
-0.64,0.008,-0.76,2.136,-4.395,-0.977
-0.674,0.003,-0.74,6.348,-1.526,-10.01
-0.691,-0.025,-0.762,4.333,0.122,0.854
-0.694,-0.013,-0.729,1.221,1.282,0.793
-0.706,0.003,-0.749,-8.057,-4.333,0.977
-0.703,-0.009,-0.726,5.31,-11.78,-2.441
-0.702,0.019,-0.694,-0.366,-9.46,-0.122
-0.711,-0.01,-0.699,0.61,-2.869,-1.709
-0.708,-0.01,-0.724,0.977,0.183,-1.526
-0.709,-0.002,-0.712,-0.488,0.061,-1.831
-0.69,-0.023,-0.697,9.949,3.906,-2.502
-0.712,-0.015,-0.712,-1.16,-1.77,-0.793
-0.7,-0.015,-0.68,0.977,1.831,-1.709
-0.708,-0.022,-0.71,1.709,-0.549,-1.343
-0.713,-0.029,-0.725,2.136,-1.038,-1.465
-0.711,-0.029,-0.717,2.869,-0.854,-1.953
-0.724,-0.034,-0.726,3.235,-3.54,-1.709
-0.704,-0.056,-0.715,-0.977,-1.77,-1.831
-0.712,-0.042,-0.713,-1.282,-0.732,-1.892
-0.719,-0.053,-0.711,-3.662,-0.977,-2.808
-0.689,-0.023,-0.7,-14.954,-27.039,0.61
-0.735,-0.04,-0.679,-3.845,2.747,-2.258
-0.735,-0.035,-0.69,-3.418,4.028,-0.916
-0.726,-0.029,-0.678,0.61,1.16,-2.014
-0.731,-0.036,-0.706,-0.122,1.282,-1.343
-0.735,-0.032,-0.713,1.831,2.625,-1.709
-0.716,-0.031,-0.697,-0.732,-0.366,-1.892
-0.729,-0.025,-0.703,-3.296,-0.977,-1.77
-0.722,-0.022,-0.708,0.0,0.916,-1.587
-0.743,-0.001,-0.728,2.197,0.122,-1.831
-0.724,-0.02,-0.709,-0.61,0.061,-1.648
-0.722,-0.024,-0.704,-0.122,-0.427,-1.709
-0.723,-0.018,-0.709,-1.465,0.671,-0.916
-0.722,-0.013,-0.701,-3.113,0.366,-1.343
-0.707,-0.044,-0.653,-1.953,-7.874,-1.221
-0.724,-0.023,-0.681,-3.174,-1.709,-0.305
-0.726,-0.05,-0.693,4.639,-8.24,-2.93
-0.731,-0.032,-0.685,0.793,-2.441,-1.282
-0.735,-0.042,-0.695,4.333,-1.587,-1.221
-0.74,-0.006,-0.736,-0.244,-4.517,-4.822
-0.727,-0.034,-0.684,0.732,2.808,-0.549
